ccode1,ccode2,year,cap_1,cap_2,pol_rel,tau_regi,tau_glob,s_wt_reg,s_wt_glo,alliance,contig_type,colcont_type,colony1,colony2,mzongo,mzongonm,mzinit,mzinitnm,mzhost1,mzhost2,mzkeynum,mzorig1,mzorig2,mzjoanyi,mzjoanyt,mzjomidi,mzjomidt,pcyrs,polity1,polity2,polity21,polity22,cccc,dyad,dyadyear,maxinit,contig,colcont,dem1,dem2,trans1,trans2,aut1,aut2,demdem,demaut,autdem,demtrans,transdem,auttrans,transaut,capshare,cowcivwar1,cowcivwar2,uppcivwar1,uppcivwar2,uppcivcon1,uppcivcon2,uppcivwar,flcivwar1,flcivwar2,igos,expab,impab,expba,impba,exp12,imp12,exp21,imp21,gdp1,gdp2,depend1,depend2,pcyrs1,pcyrs2,pcyrs3,mzinit_lead,lpcyrs,lpcyrs1,lpcyrs2,lpcyrs3,transtrans,cowcivwar,uppcivcon,flcivwar,refugee1,refugee2,logref1,logref2,refflow1,refflow2,logflow1,logflow2,civwar1,civwar2,logref1_lag,logref2_lag
2,100,2001,0.149702,0.005798,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,10,7,10,7,2100,2100,21002001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.96271384,,,1,1,1,1,1,0,1,,,,,,,,,,9997884,81680.32,,,-127041.875,-310396.94,-483807.88,,,,,,0,,3,2,6700,0,2.0412204,0,4086,0,1.6264917,0,0,1,1.2848152,0
2,101,2001,0.149702,0.005,1,,,,,,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,10,6,2101,2101,21012001,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9676798,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,126021.07,,,0,0,0,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,110,2001,0.149702,0.000065,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,6,10,6,2110,2110,21102001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.999566,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,711.78564,,,-17095.46,-33103.137,-34994.27,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,115,2001,0.149702,0.00007,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,,10,,2115,2115,21152001,0,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0.99953264,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,775.9631,,,-9005.967,-15231.908,-14345.816,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,130,2001,0.149702,0.001703,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,6,10,6,2130,2130,21302001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.988752,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,20998.207,,,-4439.546,-6220.7134,-5598.4272,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,135,2001,0.149702,0.003473,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,9,10,9,2135,2135,21352001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9773266,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,53622.6,,,-487.3946,-464.95135,-417.9027,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,1.2873024,0
2,140,2001,0.149702,0.025451,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,10,8,10,8,2140,2140,21402001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.85469276,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,508009.16,,,-129501.81,-316805.75,-494891.5,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,145,2001,0.149702,0.000998,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,10,9,10,9,2145,2145,21452001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.99337757,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,8019.5225,,,-288894.75,-737003,-1238182.2,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,150,2001,0.149702,0.000445,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,10,7,10,7,2150,2150,21502001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.9970362,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,6847.357,,,-204621.38,-513936.62,-840601.25,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,155,2001,0.149702,0.003343,1,,,,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,10,9,10,9,2155,2155,21552001,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.97815675,,,1,0,1,0,1,0,0,,,,,,,,,,9997884,66511.12,,,-26275.398,-54624.953,-64165.902,,,,,,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
