Grades,Sports,FamIncome,SES,WorkAge,HmwkTime,Female,Academic,Remedial,Advanced
4,0,6,2,14,7,0,1,0,1
3.5,1,3,2,16,6,0,0,0,0
2.5,0,4,1,14,3,0,0,0,0
2.5,0,4,1,11,2,1,0,0,0
2,0,6,2,15,3,0,0,1,0
2.5,0,5,2,13,6,0,1,1,0
3,0,5,3,15,4,0,1,1,1
2.5,0,4,2,16,5,0,0,0,1
2,1,5,2,13,3,0,0,1,0
2.5,1,6,2,14,4,0,1,0,0
2,1,4,2,15,3,0,1,1,0
4,0,3,2,16,6,1,1,0,0
4,0,2,2,16,5,1,1,0,1
3.5,0,5,2,16,4,1,1,0,0
3,1,4,2,16,4,1,0,1,0
1,0,2,1,21,5,1,1,1,0
2.5,0,2,1,16,3,1,0,1,1
3,0,5,2,16,4,0,0,0,0
4,1,2,2,12,6,1,1,0,0
3.5,0,4,1,16,5,1,0,0,0
2.5,1,5,2,16,4,1,0,0,0
4,0,3,3,13,7,0,1,0,1
1,0,3,1,17,3,0,0,1,0
3,0,6,2,16,3,1,1,1,0
2,1,3,2,16,4,0,0,1,1
3.5,1,6,2,13,6,0,1,1,1
2.5,0,5,2,17,4,1,0,0,0
1,1,2,1,15,6,0,0,0,0
4,0,4,2,12,6,1,1,0,1
2.5,0,5,1,15,6,1,1,0,1
2.5,1,3,2,16,5,0,0,0,0
3.5,1,6,3,21,7,1,1,1,1
3,0,5,2,11,5,0,0,1,1
4,0,7,3,15,6,1,1,0,1
3.5,1,3,2,16,4,1,0,1,0
2.5,1,2,1,16,3,1,0,0,0
1,0,6,2,15,4,0,0,1,0
2,0,1,2,15,1,0,0,1,0
3.5,0,3,2,16,6,1,1,0,0
3,0,6,2,12,5,1,1,0,0
3.5,0,4,2,11,1,0,0,0,0
3.5,1,7,3,16,5,1,1,1,1
2.5,0,3,2,14,5,1,0,1,1
3.5,0,4,2,11,4,1,0,0,1
2.5,1,7,3,14,4,0,0,1,0
2.5,0,2,1,14,3,0,0,0,0
2.5,1,3,1,12,5,0,0,0,0
1,0,1,1,15,3,0,1,0,0
3.5,0,5,1,17,5,0,0,0,0
1,1,2,1,14,4,0,0,1,0
2.5,0,7,3,15,5,1,1,0,1
3,0,6,2,16,5,1,1,1,1
2.5,0,2,1,16,4,1,0,1,0
