WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age,HowManyKids,FT.Communists,InterviewDuration,LookedAtEclipse,StolenStreetSign,StealShampoo,BeesOrBear,RunOutOfGas,weights
989998,1,0,0,12,13,6,0,1,0,42,7,2,985,1,0,1,0,0,1.32
990000,1,0,0,12,6,3,1,0,0,56,0,6,35,0,0,1,,0,0.24
990004,1,0,0,12,12,2,0,0,1,71,0,4,28,0,0,0,0,0,0.45
990542,1,0,0,9,5,8,1,0,1,31,0,2,34,0,0,1,,0,6.72
990543,1,0,0,9,3,4,1,0,1,75,0,2,36,0,0,1,,0,0.19
990544,1,0,0,12,10,5,1,0,0,80,0,7,27,0,0,1,,0,0.18
990545,1,0,0,12,5,3,0,0,0,70,0,2,103,0,0,1,0,0,0.3
990550,1,0,0,13,13,6,0,1,0,69,0,2,33,0,0,1,1,0,0.27
990553,1,0,0,6,2,6,0,0,0,36,0,7,26,1,0,1,1,0,1.1
990555,1,0,0,13,6,1,1,0,0,90,0,6,39,1,0,1,0,0,0.19
990556,0,0,1,10,7,4,1,0,1,64,0,2,27,0,0,1,,0,0.26
990557,1,0,0,9,2,6,1,1,0,63,0,2,31,0,0,1,,0,0.42
990558,1,0,0,9,1,6,0,1,0,58,0,2,37,0,0,0,,0,1.2
990560,1,0,0,9,4,8,1,0,0,25,0,,,0,0,0,1,0,6.06
990564,1,0,0,13,14,7,0,1,0,84,0,2,21,0,0,0,1,0,0.24
990570,1,0,0,12,14,6,0,1,0,32,3,,,0,0,1,,0,0.95
990571,1,0,0,11,5,2,0,0,1,59,2,2,38,0,0,1,0,0,0.27
990572,0,0,0,13,9,3,1,0,1,37,0,6,26,0,0,1,,0,1.9
990578,1,0,0,9,5,6,1,1,0,58,0,5,116,1,0,1,0,0,6.28
990583,1,0,0,13,15,6,0,1,0,71,0,3,24,0,0,1,,0,0.54
990587,1,0,0,10,3,4,1,0,0,76,0,2,37,0,0,1,0,0,0.76
990600,1,0,0,15,11,1,0,0,1,88,0,4,84,0,0,1,0,0,0.54
990605,0,0,0,10,2,8,1,0,1,27,2,2,23,1,1,1,0,1,1.23
990608,1,0,0,12,11,4,0,0,0,79,0,4,21,1,0,1,,0,0.45
990609,1,0,0,10,4,6,1,1,0,46,2,2,17,0,0,1,,0,0.56
990611,1,0,0,10,2,6,0,1,0,73,0,2,51,0,0,1,1,0,0.07
990613,1,0,0,10,11,6,0,1,0,62,0,2,23,1,0,1,0,0,2.78
990618,0,1,0,7,1,8,1,0,0,37,0,7,24,0,0,0,1,0,4.63
990622,0,1,0,10,3,2,0,0,1,66,0,9,58,0,0,0,1,0,4.13
990623,1,0,0,10,5,3,1,0,0,49,0,7,26,,0,1,,0,2.55
990625,1,0,0,9,4,2,1,0,1,66,0,7,42,0,0,1,,0,0.19
990626,1,0,0,10,5,6,0,0,0,71,0,2,26,0,0,1,,0,0.56
990628,1,0,0,13,12,5,0,1,0,67,0,2,19,,0,0,,0,0.92
990633,1,0,0,14,10,6,0,1,0,31,1,2,23,0,0,1,0,0,0.94
990640,1,0,0,13,9,5,0,0,0,35,0,2,17,0,0,1,1,0,2.54
990641,1,0,0,13,1,2,1,0,0,62,0,7,44,0,0,1,,0,0.15
990642,0,0,1,14,13,2,1,0,0,58,1,6,18,0,0,1,0,0,1.56
990644,0,1,0,11,12,3,0,0,1,57,1,2,2936,0,0,1,0,0,2.29
990648,1,0,0,10,2,1,0,0,0,71,0,7,26,0,0,1,,0,0.17
990649,1,0,0,10,9,6,1,1,0,69,0,4,26,0,0,0,1,0,0.32
990650,1,0,0,10,6,,1,0,0,63,0,7,21,0,0,1,0,0,1.21
990651,1,0,0,10,2,3,1,0,1,58,0,2,34,0,0,1,0,0,0.06
990653,1,0,0,12,11,5,1,0,0,47,3,2,6065,0,0,1,0,0,0.8
990658,1,0,0,10,4,5,0,0,0,71,0,4,4643,1,0,1,0,0,0.52
990664,0,0,0,12,6,8,1,0,0,40,1,2,14,0,0,0,,0,0.7
990665,1,0,0,10,8,5,1,1,0,52,2,,,0,0,1,,0,1.74
990666,0,1,0,9,11,8,1,0,1,42,2,7,24,0,0,1,,1,7.38
990667,1,0,0,12,11,2,1,0,0,67,0,7,66,0,0,1,0,0,1.62
990670,0,1,0,13,9,4,1,0,1,41,2,2,50,0,0,1,0,0,0.51
990673,0,0,1,13,6,8,1,1,0,38,2,7,21,1,0,1,,0,0.19
990684,1,0,0,10,6,6,0,1,0,64,0,2,23,0,0,1,,0,0.24
990685,1,0,0,13,9,4,1,0,0,44,2,3,27594,0,0,1,0,0,0.55
990687,1,0,0,12,11,5,0,1,0,41,2,5,15,0,0,1,0,0,2.69
990688,0,0,0,10,3,6,1,0,0,68,0,3,25273,0,0,0,,0,0.11
