ID,VotedFor,PresVote,PartyID,Age,FamIncome,Female,White,FT.Bush,FT.Clinton,FT.Perot
3534,Clinton,2,3,46,20,1,White,0,60,60
3535,Bush,1,7,72,11,0,White,85,70,30
3536,Bush,1,5,41,14,0,Non-White,70,60,40
3537,Clinton,2,2,65,16,1,White,15,70,70
3538,Clinton,2,6,30,21,1,White,25,75,5
3540,Bush,1,5,33,16,0,White,100,15,0
3543,Clinton,2,2,55,20,1,White,40,60,15
3545,Perot,3,5,43,21,0,White,40,30,60
3546,Bush,1,4,42,24,0,White,85,30,30
3549,Clinton,2,2,38,21,1,White,85,85,85
3550,Bush,1,7,46,15,1,White,85,15,15
3551,Bush,1,7,75,16,1,White,100,30,50
3552,Perot,3,3,74,11,1,White,40,60,70
3553,Bush,1,7,38,12,0,White,100,10,5
3555,Bush,1,4,36,18,1,White,50,50,50
3558,Bush,1,7,57,17,1,White,85,30,15
3559,Perot,3,4,52,19,0,White,85,50,100
3561,Clinton,2,3,44,22,1,White,30,60,0
3562,Clinton,2,1,21,14,1,Non-White,50,70,50
3564,Clinton,2,4,29,16,0,Non-White,60,85,100
3565,Clinton,2,3,49,23,1,White,40,70,40
3566,Clinton,2,3,40,21,1,White,40,60,30
3567,Bush,1,5,37,19,1,White,70,30,50
3568,Clinton,2,2,42,19,0,White,15,60,30
3570,Clinton,2,6,19,21,0,White,70,100,85
3571,Bush,1,7,18,20,0,White,100,50,60
3572,Clinton,2,2,64,13,1,White,60,85,60
3573,Clinton,2,1,42,18,1,White,15,70,0
3574,Bush,1,6,32,20,1,White,70,50,30
3575,Bush,1,5,26,19,1,White,60,0,30
3576,Perot,3,3,41,17,0,White,70,70,80
3577,Clinton,2,7,59,20,0,White,0,60,50
3580,Clinton,2,1,20,6,0,Non-White,50,85,60
3581,Clinton,2,2,31,16,1,White,40,85,85
3583,Clinton,2,1,46,20,0,White,0,100,60
3584,Clinton,2,2,26,20,0,Non-White,50,60,70
3588,Clinton,2,2,33,12,1,Non-White,40,85,50
3590,Bush,1,2,37,12,1,White,70,15,100
3592,Bush,1,7,60,11,0,White,100,0,0
3594,Clinton,2,2,32,17,0,White,0,70,0
3595,Bush,1,5,85,19,0,White,100,85,85
3596,Clinton,2,2,46,20,1,Non-White,60,70,30
3597,Perot,3,3,29,13,0,White,30,70,60
3598,Clinton,2,5,27,17,1,White,30,40,15
3599,Perot,3,5,40,22,0,White,40,15,50
3600,Bush,1,7,29,16,0,White,70,15,60
3603,Perot,3,6,34,12,0,White,40,15,60
3605,Perot,3,4,48,21,0,White,50,60,100
3606,Bush,1,6,68,15,1,White,60,60,60
3607,Perot,3,3,42,7,1,White,15,85,70
3608,Bush,1,7,27,16,0,White,85,30,60
3612,Clinton,2,1,29,16,1,White,15,85,40
3614,Bush,1,5,53,19,0,White,60,40,50
3615,Clinton,2,2,43,18,0,White,60,85,40
3616,Clinton,2,3,24,11,0,White,30,85,0
3618,Clinton,2,1,50,23,0,White,45,70,48
3619,Clinton,2,1,43,12,1,Non-White,60,85,60
3622,Perot,3,6,22,12,0,White,70,60,70
3624,Clinton,2,4,54,21,0,White,40,50,50
3626,Clinton,2,2,45,24,1,White,60,50,60
3627,Bush,1,5,46,21,1,Non-White,50,30,50
3628,Clinton,2,3,28,8,0,White,50,70,0
3629,Bush,1,7,68,5,0,White,100,0,0
3630,Clinton,2,1,55,17,1,Non-White,50,100,15
3631,Clinton,2,2,71,20,0,White,50,70,60
3632,Clinton,2,1,36,16,0,White,40,80,50
3634,Clinton,2,1,19,11,1,White,0,90,10
3636,Perot,3,4,45,14,0,White,15,70,100
3637,Perot,3,4,42,14,0,White,20,30,80
3638,Bush,1,5,33,16,0,White,70,30,30
3639,Bush,1,5,30,17,0,White,70,15,85
3640,Perot,3,3,26,20,0,White,40,60,85
3641,Bush,1,7,32,22,0,White,70,50,40
3644,Perot,3,7,35,24,1,White,60,40,70
3645,Clinton,2,2,23,24,1,White,40,70,30
3646,Clinton,2,3,43,24,0,White,40,50,30
3647,Perot,3,4,22,21,1,White,60,85,70
3648,Clinton,2,3,48,18,0,White,30,70,50
3650,Clinton,2,2,40,18,1,White,15,85,60
3651,Perot,3,5,28,21,0,White,70,70,100
3653,Bush,1,7,36,20,0,White,70,0,60
3654,Bush,1,6,36,20,0,White,70,40,60
3655,Clinton,2,4,22,13,1,White,50,60,60
3656,Bush,1,2,60,21,0,White,100,30,50
3657,Clinton,2,3,37,17,1,White,0,100,70
3661,Bush,1,7,38,22,1,White,70,15,60
3662,Bush,1,5,25,13,0,Non-White,60,40,15
3663,Perot,3,3,28,20,1,White,15,60,85
3664,Clinton,2,2,40,16,0,Non-White,40,60,0
3665,Bush,1,6,59,19,1,White,85,70,60
3666,Bush,1,7,35,11,1,White,85,80,0
3667,Clinton,2,3,49,21,0,White,0,70,40
3670,Bush,1,7,27,9,1,White,85,15,70
3671,Clinton,2,3,45,21,1,White,50,70,50
3672,Bush,1,5,33,11,1,White,70,60,0
3673,Clinton,2,3,31,12,0,White,15,85,40
3674,Perot,3,3,22,19,1,White,50,15,50
3676,Bush,1,6,35,21,1,White,70,30,50
3677,Clinton,2,3,51,16,0,White,50,70,30
3678,Bush,1,7,34,20,0,White,60,40,50
3679,Clinton,2,3,47,24,1,White,30,70,40
3680,Bush,1,5,68,24,0,White,70,50,40
3681,Clinton,2,3,28,18,0,White,30,70,0
3682,Perot,3,5,51,21,0,White,80,80,100
3683,Bush,1,7,27,17,1,White,70,40,60
3684,Bush,1,4,31,23,0,White,85,0,0
3685,Clinton,2,4,30,19,1,White,70,70,70
3687,Perot,3,3,29,15,0,White,70,30,85
3688,Perot,3,2,25,13,0,Non-White,50,70,85
3689,Perot,3,5,28,20,0,White,50,0,80
3690,Perot,3,3,44,18,0,White,15,50,60
3691,Perot,3,3,36,18,1,White,30,70,85
3693,Clinton,2,3,46,12,1,White,40,50,0
3694,Clinton,2,1,18,17,1,White,30,70,60
3695,Perot,3,4,26,13,0,White,35,10,75
3696,Clinton,2,3,20,4,1,White,50,85,70
3697,Clinton,2,2,39,20,1,White,15,70,15
3698,Bush,1,5,35,6,0,Non-White,85,60,50
3699,Clinton,2,1,21,15,1,White,40,60,50
3701,Perot,3,2,39,20,1,Non-White,15,30,30
3703,Clinton,2,3,33,15,0,White,60,85,50
3706,Clinton,2,2,30,15,0,White,60,70,60
